receive/accept,примити primiti
allow,дозволити dozvoliti
ask,питати pitati
attempt,покушати pokušati
believe,веровати verovati
borrow,посудити posuditi
break,сломити slomiti
bring,донијети donijeti
buy,купити kupiti
can/be able,моћи moći
cancel,откажити otkazati
change,променити promeniti
clean,очистити očistiti
comb,чешљати češljati
cough,кашљати kašljati
count,бројати brojati
cut,сјећи sjeći
dance,плесати plesati
draw,цртати crtati
drink,пити piti
drive,возити voziti
eat,јести jesti
explain,објаснити objasniti
fall,пасти pasti
fill,напунити napuniti
find,пронаћи pronaći
finish,завршити završiti
fit,пасовати pasovati
fix,поправити popraviti
fly,летети leteti
forget,заборавити zaboraviti
give,дати dati
go,ићи ići
have,имати imati
hear,чути čuti
hurt,повредити povrediti
know,знати znati
learn,учити učiti
leave,оставити ostaviti
listen,слушати slušati
live,живети živeti
look,гледати gledati
lose,изгубити izgubiti
make,правити praviti
need,требати trebati
open,отворити otvoriti
close/shut,затворити  zatvoriti
organise,организовати organizovati
pay,платити platiti
perform,свирати svirati
play,играти igrati
put,ставити staviti
read,читати čitati
respond,одговорити odgovoriti
run,трчати trčati
say,речити rećiti
see,видети videti
sell,продати prodati
send,послати poslati
sign,потписати potpisati
sing,пјевати pjevati
sit,сјести sjesti
sleep,спавати spavati
smoke,пушити pušiti
speak,говорити govoriti
spell,спеловати spelovati
spend (money),потрошити potrošiti
spend (time),провести provesti
stand,стајати stajati
begin,почети početi
succeed,успети uspeti
swim,пливати plivati
take,узети uzeti
talk,причати pričati
tell,казати kazati
think,мислити misliti
translate,превести prevesti
travel,путовати putovati
try,пробати probati
turn off,искључити isključiti
turn on,укључити uključiti
type (keyboard),типкати tipkati
understand,разумети razumeti
use,користити koristiti
wait,чекати čekati
wake,пробудити probuditi
want,желети želeti
watch,гледати gledati
work/do,радити raditi
worry,бринути brinuti
write,писати pisati
