English,Serbian
accept,primiti
allow,dozvoliti
ask,pitati
attempt,pokušati
believe,verovati
borrow,pozajmiti (od nekoga)
break,slomiti/polomiti
bring,donijeti
buy,kupiti
can/be able,moći
cancel,otkazati
change,promijeniti
clean,očistiti
comb,češljati
cough,kašljati
count,brojati
cut,sjeći
dance,plesati
draw,crtati
drink,piti
drive,voziti
eat,jesti
explain,objasniti
fall,pasti
fill,napuniti
find,pronaći
finish,završiti
fit,pasovati
fix,popraviti
fly,leteti
forget,zaboraviti
give,dati
go,ići
have,imati
hear,čuti
hurt,povrediti
know,znati
learn,učiti
leave,ostaviti
listen,slušati
live,živeti
look,gledati
lose,izgubiti
make,praviti
need,trebati
open,otvoriti
close/shut,zatvoriti
organise,organizovati
pay,platiti
perform,svirati
play,igrati
put,staviti
read,čitati
reply,odgovoriti
run,trčati
say,rećiti
see,videti
sell,prodati
send,poslati
sign,potpisati
sing,pjevati
sit,sjesti
sleep,spavati
smoke,pušiti
speak,govoriti
spell,spelovati
spend (money),potrošiti
spend (time),provesti
stand,stajati
start,početi
learn,naučiti
succeed,uspeti
swim,plivati
take,uzeti
talk,pričati
teach,učiti
tell,kazati
think,misliti
translate,prevesti
travel,putovati
try,probati
turn off,isključiti
turn on,uključiti
type,tipkati
understand,razumeti
use,koristiti
wait,čekati
wake,probuditi
want,želeti
watch,gledati
work/do,raditi
worry,brinuti
write,pisati
