English,Serbian
accept,primiti
allow,dozvoliti
ask,pitati
believe,verovati
borrow,pozajmiti (od nekoga)
break,slomiti/polomiti
bring,doneti
buy,kupiti
can/be able,moći
cancel,otkazati
change,promeniti
clean,očistiti
comb,češljati/četkati
cough,kašljati
count,brojati
cut,seći/rezati
dance,plesati
draw,crtati
drink,piti
drive,voziti
eat,jesti
explain,objasniti
fall,pasti/upasti
fill,napuniti
find,pronaći
finish,završiti
fit,odgovarati (biti ogovarajući)/pasovati
fix,popraviti
fly,leteti
forget,zaboraviti
give,dati
go,ići
have,imati
hear,čuti
hurt,povrediti
know,znati
learn,učiti se
leave,ostaviti
listen,slušati
live,živeti
look,gledati
lose,izgubiti
make/do,raditi činiti/praviti
need,trebati (nekoga ili nešto)
open,otvoriti
close/shut,zatvoriti
organise,organizovati
pay,platiti
play,igrati (igru)/svirati
put,staviti
rain,kišiti
read,čitati
reply,odgovoriti
run,trčati
say,reći
see,videti
sell,prodati
send,poslati
sign,potpisati
sing,pevati
sit,sesti/sedeti
sleep,spavati
smoke,pušiti
speak,govoriti
spell,govoriti reč slovo po slovo
spend,potrošiti/provesti (vreme)
stand,stajati
start/begin,početi/započeti
study,učiti/studirati
succeed,uspeti
swim,plivati
take,uzeti
talk,razgovarati
teach,podučavati nekoga
tell,reći/kazati
think,misliti
translate,prevesti
travel,putovati
try,pokušati/probati
turn off,isključiti
turn on,uključiti
type,otkucati na mašini
understand,razumeti
use,koristiti/upotrebljavati
wait,čekati
wake up,probuditi se
want,želeti/hteti
watch,gledati/posmatrati
work,raditi
worry,brinuti
write,pisati
